RowNumber,Exited,P_Hat
1,1,0.121568668
2,0,0.139340225
3,1,0.352853783
4,0,0.217858462
5,0,0.151099387
6,1,0.248298759
7,0,0.10312962
8,1,0.283739273
9,0,0.118307115
10,0,0.036093137
11,0,0.11859116
12,0,0.059271528
13,0,0.183457425
14,0,0.100119117
15,0,0.069260264
16,0,0.22291141
17,1,0.693466316
18,0,0.034211404
19,0,0.23199903
20,0,0.030522986
21,0,0.059683331
22,0,0.148674077
23,1,0.245268176
24,0,0.086925391
25,0,0.081690253
26,0,0.021522067
27,0,0.128759732
28,0,0.204228663
29,0,0.323147323
30,0,0.037065301
31,1,0.212949011
32,0,0.065323676
33,0,0.374414897
34,0,0.117875619
35,0,0.043431097
36,1,0.441308569
37,0,0.055374367
38,0,0.043828873
39,0,0.043181165
40,0,0.15317961
41,0,0.18483945
42,1,0.543835608
43,0,0.439479456
44,1,0.452190094
45,0,0.447588205
46,0,0.134808581
47,1,0.104341711
48,1,0.253250468
49,0,0.152126068
50,0,0.392015036
51,0,0.407269882
52,0,0.309432931
53,0,0.14509632
54,1,0.391905823
55,1,0.400729213
56,0,0.10875607
57,0,0.288239544
58,0,0.098254586
59,1,0.713115121
60,0,0.148954276
61,0,0.288347109
62,0,0.273353607
63,0,0.119176725
64,0,0.209955884
65,0,0.068481395
66,0,0.199168132
67,0,0.393717451
68,0,0.178533482
69,0,0.189247274
70,0,0.098969577
71,1,0.61297622
72,0,0.075119922
73,0,0.126467854
74,0,0.106680532
75,0,0.04839605
76,0,0.105588399
77,0,0.155217287
78,0,0.060436273
79,0,0.045240306
80,0,0.535073012
81,0,0.203801987
82,1,0.149571218
83,0,0.19903324
84,0,0.095832103
85,0,0.347017677
86,0,0.573966226
87,1,0.065696498
88,0,0.077063793
89,1,0.302575491
90,0,0.106248943
91,1,0.113759603
92,0,0.244037628
93,0,0.201058365
94,0,0.02523283
95,0,0.063975302
96,0,0.0772484
97,0,0.082351726
98,0,0.065025119
99,0,0.045141195
100,0,0.121137037
101,0,0.103988688
102,0,0.296476159
103,0,0.109484415
104,0,0.128652253
105,1,0.415852178
106,1,0.181538409
107,0,0.098519519
108,0,0.182596763
109,0,0.156661426
110,1,0.300484257
111,0,0.081396452
112,0,0.342052233
113,0,0.243670588
114,0,0.062969868
115,1,0.074171553
116,0,0.136450602
117,0,0.47602639
118,0,0.268103036
119,1,0.35539536
